alpha,tau,strategy,n_patients,accuracy,mean_stop_tests,pct_early_stop
0.0,0.9999999999999999,ig,300,0.5666666666666667,1.3233333333333333,0.92
0.0,1.0999999999999999,ig,300,0.5666666666666667,1.2566666666666666,0.9366666666666666
0.0,1.2,ig,300,0.5633333333333334,1.1466666666666667,0.9666666666666667
0.0,1.3,ig,300,0.57,1.0933333333333333,0.98
0.0,1.4,ig,300,0.5666666666666667,1.0633333333333332,0.99
0.0,1.5,ig,300,0.5666666666666667,1.0466666666666666,0.99
0.0,1.5999999999999999,ig,300,0.5566666666666666,1.0166666666666666,1.0
0.0,1.7,ig,300,0.5566666666666666,1.01,1.0
0.0,1.8,ig,300,0.5566666666666666,1.0033333333333334,1.0
0.0,1.9,ig,300,0.5566666666666666,1.0,1.0
0.25,0.1,actual,300,0.7233333333333334,2.34,0.5633333333333334
0.25,0.2,actual,300,0.71,2.243333333333333,0.61
0.25,0.3,actual,300,0.7,2.15,0.6533333333333333
0.25,0.4,actual,300,0.6866666666666666,2.0633333333333335,0.68
0.25,0.5,actual,300,0.6933333333333334,1.98,0.7166666666666667
0.25,0.6,actual,300,0.6833333333333333,1.88,0.7433333333333333
0.25,0.7,actual,300,0.6833333333333333,1.81,0.7666666666666667
0.25,0.7999999999999999,actual,300,0.68,1.7333333333333334,0.8066666666666666
0.25,0.8999999999999999,actual,300,0.6666666666666666,1.62,0.8533333333333334
0.25,0.9999999999999999,actual,300,0.6333333333333333,1.52,0.8933333333333333
0.25,1.0999999999999999,actual,300,0.63,1.42,0.9233333333333333
0.25,1.2,actual,300,0.6366666666666667,1.3433333333333333,0.95
0.25,1.3,actual,300,0.63,1.2733333333333334,0.9666666666666667
0.25,1.4,actual,300,0.63,1.23,0.9733333333333334
0.25,1.5,actual,300,0.6233333333333333,1.1833333333333333,0.98
0.25,1.5999999999999999,actual,300,0.62,1.1133333333333333,0.9933333333333333
0.25,1.7,actual,300,0.6133333333333333,1.0833333333333333,0.9933333333333333
0.25,1.8,actual,300,0.61,1.0233333333333334,0.9966666666666667
0.25,1.9,actual,300,0.6066666666666667,1.0066666666666666,1.0
0.25,0.1,actual_real,300,0.8066666666666666,2.5966666666666667,0.41333333333333333
0.25,0.2,actual_real,300,0.8033333333333333,2.53,0.45
0.25,0.3,actual_real,300,0.8,2.4433333333333334,0.48333333333333334
0.25,0.4,actual_real,300,0.8,2.3133333333333335,0.5333333333333333
0.25,0.5,actual_real,300,0.8,2.223333333333333,0.5666666666666667
0.25,0.6,actual_real,300,0.8033333333333333,2.1,0.62
0.25,0.7,actual_real,300,0.8066666666666666,2.0033333333333334,0.6533333333333333
0.25,0.7999999999999999,actual_real,300,0.8,1.9366666666666668,0.6833333333333333
0.25,0.8999999999999999,actual_real,300,0.8066666666666666,1.7966666666666666,0.7333333333333333
0.25,0.9999999999999999,actual_real,300,0.7933333333333333,1.6233333333333333,0.8166666666666667
0.25,1.0999999999999999,actual_real,300,0.8,1.54,0.8433333333333334
0.25,1.2,actual_real,300,0.8,1.4733333333333334,0.87
0.25,1.3,actual_real,300,0.8033333333333333,1.4033333333333333,0.8966666666666666
0.25,1.4,actual_real,300,0.8066666666666666,1.3333333333333333,0.9166666666666666
0.25,1.5,actual_real,300,0.81,1.28,0.93
0.25,1.5999999999999999,actual_real,300,0.82,1.1666666666666667,0.9633333333333334
0.25,1.7,actual_real,300,0.82,1.1,0.9866666666666667
0.25,1.8,actual_real,300,0.8033333333333333,1.03,0.9933333333333333
0.25,1.9,actual_real,300,0.7933333333333333,1.01,0.9966666666666667
0.25,0.1,random,300,0.7,2.9133333333333336,0.31666666666666665
0.25,0.2,random,300,0.6833333333333333,2.87,0.34
0.25,0.3,random,300,0.6533333333333333,2.8033333333333332,0.37333333333333335
0.25,0.4,random,300,0.62,2.6633333333333336,0.43
0.25,0.5,random,300,0.6133333333333333,2.546666666666667,0.49666666666666665
0.25,0.6,random,300,0.61,2.3933333333333335,0.5433333333333333
0.25,0.7,random,300,0.6033333333333334,2.243333333333333,0.61
0.25,0.7999999999999999,random,300,0.5766666666666667,2.1733333333333333,0.6433333333333333
0.25,0.8999999999999999,random,300,0.5266666666666666,2.0233333333333334,0.6733333333333333
0.25,0.9999999999999999,random,300,0.49333333333333335,1.9233333333333333,0.7366666666666667
0.25,1.0999999999999999,random,300,0.48,1.79,0.7666666666666667
0.25,1.2,random,300,0.48,1.7133333333333334,0.7866666666666666
0.25,1.3,random,300,0.4666666666666667,1.6233333333333333,0.82
0.25,1.4,random,300,0.46,1.55,0.8366666666666667
0.25,1.5,random,300,0.44333333333333336,1.4766666666666666,0.8433333333333334
0.25,1.5999999999999999,random,300,0.42,1.3133333333333332,0.9133333333333333
0.25,1.7,random,300,0.4033333333333333,1.2066666666666668,0.9433333333333334
0.25,1.8,random,300,0.39,1.0666666666666667,0.9766666666666667
0.25,1.9,random,300,0.39,1.0133333333333334,0.9933333333333333
0.25,0.1,bfs,300,0.6866666666666666,2.0933333333333333,0.6333333333333333
0.25,0.2,bfs,300,0.68,2.006666666666667,0.6633333333333333
0.25,0.3,bfs,300,0.6866666666666666,1.8933333333333333,0.7133333333333334
0.25,0.4,bfs,300,0.6633333333333333,1.79,0.7533333333333333
0.25,0.5,bfs,300,0.6666666666666666,1.7133333333333334,0.7666666666666667
0.25,0.6,bfs,300,0.6533333333333333,1.6466666666666667,0.7933333333333333
0.25,0.7,bfs,300,0.6366666666666667,1.58,0.82
0.25,0.7999999999999999,bfs,300,0.62,1.4966666666666666,0.85
0.25,0.8999999999999999,bfs,300,0.6066666666666667,1.43,0.8833333333333333
0.25,0.9999999999999999,bfs,300,0.5666666666666667,1.3233333333333333,0.92
0.25,1.0999999999999999,bfs,300,0.5666666666666667,1.2566666666666666,0.9366666666666666
0.25,1.2,bfs,300,0.5633333333333334,1.1466666666666667,0.9666666666666667
0.25,1.3,bfs,300,0.57,1.0933333333333333,0.98
0.25,1.4,bfs,300,0.5666666666666667,1.0633333333333332,0.99
0.25,1.5,bfs,300,0.5666666666666667,1.0466666666666666,0.99
0.25,1.5999999999999999,bfs,300,0.5566666666666666,1.0166666666666666,1.0
0.25,1.7,bfs,300,0.5566666666666666,1.01,1.0
0.25,1.8,bfs,300,0.5566666666666666,1.0033333333333334,1.0
0.25,1.9,bfs,300,0.5566666666666666,1.0,1.0
0.25,0.1,ig,300,0.6766666666666666,2.08,0.6433333333333333
0.25,0.2,ig,300,0.67,1.9933333333333334,0.6733333333333333
0.25,0.3,ig,300,0.6766666666666666,1.8766666666666667,0.7233333333333334
0.25,0.4,ig,300,0.66,1.7866666666666666,0.7566666666666667
0.25,0.5,ig,300,0.6633333333333333,1.71,0.77
0.25,0.6,ig,300,0.6533333333333333,1.6366666666666667,0.8
0.25,0.7,ig,300,0.6333333333333333,1.5633333333333332,0.83
0.25,0.7999999999999999,ig,300,0.6166666666666667,1.4833333333333334,0.8566666666666667
0.25,0.8999999999999999,ig,300,0.6033333333333334,1.4166666666666667,0.89
0.25,0.9999999999999999,ig,300,0.57,1.31,0.92
0.25,1.0999999999999999,ig,300,0.5666666666666667,1.2433333333333334,0.9366666666666666
0.25,1.2,ig,300,0.5666666666666667,1.1333333333333333,0.9666666666666667
0.25,1.3,ig,300,0.5733333333333334,1.08,0.98
0.25,1.4,ig,300,0.5666666666666667,1.04,0.9933333333333333
0.25,1.5,ig,300,0.5666666666666667,1.0266666666666666,0.9933333333333333
0.25,1.5999999999999999,ig,300,0.5566666666666666,1.01,1.0
0.25,1.7,ig,300,0.5566666666666666,1.0066666666666666,1.0
0.25,1.8,ig,300,0.5566666666666666,1.0,1.0
0.25,1.9,ig,300,0.5566666666666666,1.0,1.0
0.5,0.1,actual,300,0.7233333333333334,2.34,0.5633333333333334
0.5,0.2,actual,300,0.71,2.243333333333333,0.61
0.5,0.3,actual,300,0.7,2.15,0.6533333333333333
0.5,0.4,actual,300,0.6866666666666666,2.0633333333333335,0.68
0.5,0.5,actual,300,0.6933333333333334,1.98,0.7166666666666667
0.5,0.6,actual,300,0.6833333333333333,1.88,0.7433333333333333
0.5,0.7,actual,300,0.6833333333333333,1.81,0.7666666666666667
0.5,0.7999999999999999,actual,300,0.68,1.7333333333333334,0.8066666666666666
0.5,0.8999999999999999,actual,300,0.6666666666666666,1.62,0.8533333333333334
0.5,0.9999999999999999,actual,300,0.6333333333333333,1.52,0.8933333333333333
0.5,1.0999999999999999,actual,300,0.63,1.42,0.9233333333333333
0.5,1.2,actual,300,0.6366666666666667,1.3433333333333333,0.95
0.5,1.3,actual,300,0.63,1.2733333333333334,0.9666666666666667
0.5,1.4,actual,300,0.63,1.23,0.9733333333333334
0.5,1.5,actual,300,0.6233333333333333,1.1833333333333333,0.98
0.5,1.5999999999999999,actual,300,0.62,1.1133333333333333,0.9933333333333333
0.5,1.7,actual,300,0.6133333333333333,1.0833333333333333,0.9933333333333333
0.5,1.8,actual,300,0.61,1.0233333333333334,0.9966666666666667
0.5,1.9,actual,300,0.6066666666666667,1.0066666666666666,1.0
0.5,0.1,actual_real,300,0.8066666666666666,2.5966666666666667,0.41333333333333333
0.5,0.2,actual_real,300,0.8033333333333333,2.53,0.45
0.5,0.3,actual_real,300,0.8,2.4433333333333334,0.48333333333333334
0.5,0.4,actual_real,300,0.8,2.3133333333333335,0.5333333333333333
0.5,0.5,actual_real,300,0.8,2.223333333333333,0.5666666666666667
0.5,0.6,actual_real,300,0.8033333333333333,2.1,0.62
0.5,0.7,actual_real,300,0.8066666666666666,2.0033333333333334,0.6533333333333333
0.5,0.7999999999999999,actual_real,300,0.8,1.9366666666666668,0.6833333333333333
0.5,0.8999999999999999,actual_real,300,0.8066666666666666,1.7966666666666666,0.7333333333333333
0.5,0.9999999999999999,actual_real,300,0.7933333333333333,1.6233333333333333,0.8166666666666667
0.5,1.0999999999999999,actual_real,300,0.8,1.54,0.8433333333333334
0.5,1.2,actual_real,300,0.8,1.4733333333333334,0.87
0.5,1.3,actual_real,300,0.8033333333333333,1.4033333333333333,0.8966666666666666
0.5,1.4,actual_real,300,0.8066666666666666,1.3333333333333333,0.9166666666666666
0.5,1.5,actual_real,300,0.81,1.28,0.93
0.5,1.5999999999999999,actual_real,300,0.82,1.1666666666666667,0.9633333333333334
0.5,1.7,actual_real,300,0.82,1.1,0.9866666666666667
0.5,1.8,actual_real,300,0.8033333333333333,1.03,0.9933333333333333
0.5,1.9,actual_real,300,0.7933333333333333,1.01,0.9966666666666667
0.5,0.1,random,300,0.7,2.9133333333333336,0.31666666666666665
0.5,0.2,random,300,0.6833333333333333,2.87,0.34
0.5,0.3,random,300,0.6533333333333333,2.8033333333333332,0.37333333333333335
0.5,0.4,random,300,0.62,2.6633333333333336,0.43
0.5,0.5,random,300,0.6133333333333333,2.546666666666667,0.49666666666666665
0.5,0.6,random,300,0.61,2.3933333333333335,0.5433333333333333
0.5,0.7,random,300,0.6033333333333334,2.243333333333333,0.61
0.5,0.7999999999999999,random,300,0.5766666666666667,2.1733333333333333,0.6433333333333333
0.5,0.8999999999999999,random,300,0.5266666666666666,2.0233333333333334,0.6733333333333333
0.5,0.9999999999999999,random,300,0.49333333333333335,1.9233333333333333,0.7366666666666667
0.5,1.0999999999999999,random,300,0.48,1.79,0.7666666666666667
0.5,1.2,random,300,0.48,1.7133333333333334,0.7866666666666666
0.5,1.3,random,300,0.4666666666666667,1.6233333333333333,0.82
0.5,1.4,random,300,0.46,1.55,0.8366666666666667
0.5,1.5,random,300,0.44333333333333336,1.4766666666666666,0.8433333333333334
0.5,1.5999999999999999,random,300,0.42,1.3133333333333332,0.9133333333333333
0.5,1.7,random,300,0.4033333333333333,1.2066666666666668,0.9433333333333334
0.5,1.8,random,300,0.39,1.0666666666666667,0.9766666666666667
0.5,1.9,random,300,0.39,1.0133333333333334,0.9933333333333333
0.5,0.1,bfs,300,0.6866666666666666,2.0933333333333333,0.6333333333333333
0.5,0.2,bfs,300,0.68,2.006666666666667,0.6633333333333333
0.5,0.3,bfs,300,0.6866666666666666,1.8933333333333333,0.7133333333333334
0.5,0.4,bfs,300,0.6633333333333333,1.79,0.7533333333333333
0.5,0.5,bfs,300,0.6666666666666666,1.7133333333333334,0.7666666666666667
0.5,0.6,bfs,300,0.6533333333333333,1.6466666666666667,0.7933333333333333
0.5,0.7,bfs,300,0.6366666666666667,1.58,0.82
0.5,0.7999999999999999,bfs,300,0.62,1.4966666666666666,0.85
0.5,0.8999999999999999,bfs,300,0.6066666666666667,1.43,0.8833333333333333
0.5,0.9999999999999999,bfs,300,0.5666666666666667,1.3233333333333333,0.92
0.5,1.0999999999999999,bfs,300,0.5666666666666667,1.2566666666666666,0.9366666666666666
0.5,1.2,bfs,300,0.5633333333333334,1.1466666666666667,0.9666666666666667
0.5,1.3,bfs,300,0.57,1.0933333333333333,0.98
0.5,1.4,bfs,300,0.5666666666666667,1.0633333333333332,0.99
0.5,1.5,bfs,300,0.5666666666666667,1.0466666666666666,0.99
0.5,1.5999999999999999,bfs,300,0.5566666666666666,1.0166666666666666,1.0
0.5,1.7,bfs,300,0.5566666666666666,1.01,1.0
0.5,1.8,bfs,300,0.5566666666666666,1.0033333333333334,1.0
0.5,1.9,bfs,300,0.5566666666666666,1.0,1.0
0.5,0.1,ig,300,0.6733333333333333,2.07,0.6466666666666666
0.5,0.2,ig,300,0.6666666666666666,1.9833333333333334,0.6766666666666666
0.5,0.3,ig,300,0.67,1.8633333333333333,0.7266666666666667
0.5,0.4,ig,300,0.6566666666666666,1.7766666666666666,0.76
0.5,0.5,ig,300,0.6633333333333333,1.69,0.7766666666666666
0.5,0.6,ig,300,0.65,1.62,0.8066666666666666
0.5,0.7,ig,300,0.6333333333333333,1.5433333333333332,0.8366666666666667
0.5,0.7999999999999999,ig,300,0.62,1.4766666666666666,0.8566666666666667
0.5,0.8999999999999999,ig,300,0.6066666666666667,1.3933333333333333,0.8966666666666666
0.5,0.9999999999999999,ig,300,0.5733333333333334,1.2833333333333334,0.9266666666666666
0.5,1.0999999999999999,ig,300,0.57,1.2166666666666666,0.9433333333333334
0.5,1.2,ig,300,0.5666666666666667,1.1066666666666667,0.9733333333333334
0.5,1.3,ig,300,0.57,1.0533333333333332,0.9866666666666667
0.5,1.4,ig,300,0.5633333333333334,1.0233333333333334,0.9966666666666667
0.5,1.5,ig,300,0.56,1.01,1.0
0.5,1.5999999999999999,ig,300,0.56,1.0033333333333334,1.0
0.5,1.7,ig,300,0.56,1.0033333333333334,1.0
0.5,1.8,ig,300,0.56,1.0,1.0
0.5,1.9,ig,300,0.56,1.0,1.0
0.75,0.1,actual,300,0.7233333333333334,2.34,0.5633333333333334
0.75,0.2,actual,300,0.71,2.243333333333333,0.61
0.75,0.3,actual,300,0.7,2.15,0.6533333333333333
0.75,0.4,actual,300,0.6866666666666666,2.0633333333333335,0.68
0.75,0.5,actual,300,0.6933333333333334,1.98,0.7166666666666667
0.75,0.6,actual,300,0.6833333333333333,1.88,0.7433333333333333
0.75,0.7,actual,300,0.6833333333333333,1.81,0.7666666666666667
0.75,0.7999999999999999,actual,300,0.68,1.7333333333333334,0.8066666666666666
0.75,0.8999999999999999,actual,300,0.6666666666666666,1.62,0.8533333333333334
0.75,0.9999999999999999,actual,300,0.6333333333333333,1.52,0.8933333333333333
0.75,1.0999999999999999,actual,300,0.63,1.42,0.9233333333333333
0.75,1.2,actual,300,0.6366666666666667,1.3433333333333333,0.95
0.75,1.3,actual,300,0.63,1.2733333333333334,0.9666666666666667
0.75,1.4,actual,300,0.63,1.23,0.9733333333333334
0.75,1.5,actual,300,0.6233333333333333,1.1833333333333333,0.98
0.75,1.5999999999999999,actual,300,0.62,1.1133333333333333,0.9933333333333333
0.75,1.7,actual,300,0.6133333333333333,1.0833333333333333,0.9933333333333333
0.75,1.8,actual,300,0.61,1.0233333333333334,0.9966666666666667
0.75,1.9,actual,300,0.6066666666666667,1.0066666666666666,1.0
0.75,0.1,actual_real,300,0.8066666666666666,2.5966666666666667,0.41333333333333333
0.75,0.2,actual_real,300,0.8033333333333333,2.53,0.45
0.75,0.3,actual_real,300,0.8,2.4433333333333334,0.48333333333333334
0.75,0.4,actual_real,300,0.8,2.3133333333333335,0.5333333333333333
0.75,0.5,actual_real,300,0.8,2.223333333333333,0.5666666666666667
0.75,0.6,actual_real,300,0.8033333333333333,2.1,0.62
0.75,0.7,actual_real,300,0.8066666666666666,2.0033333333333334,0.6533333333333333
0.75,0.7999999999999999,actual_real,300,0.8,1.9366666666666668,0.6833333333333333
0.75,0.8999999999999999,actual_real,300,0.8066666666666666,1.7966666666666666,0.7333333333333333
0.75,0.9999999999999999,actual_real,300,0.7933333333333333,1.6233333333333333,0.8166666666666667
0.75,1.0999999999999999,actual_real,300,0.8,1.54,0.8433333333333334
0.75,1.2,actual_real,300,0.8,1.4733333333333334,0.87
0.75,1.3,actual_real,300,0.8033333333333333,1.4033333333333333,0.8966666666666666
0.75,1.4,actual_real,300,0.8066666666666666,1.3333333333333333,0.9166666666666666
0.75,1.5,actual_real,300,0.81,1.28,0.93
0.75,1.5999999999999999,actual_real,300,0.82,1.1666666666666667,0.9633333333333334
0.75,1.7,actual_real,300,0.82,1.1,0.9866666666666667
0.75,1.8,actual_real,300,0.8033333333333333,1.03,0.9933333333333333
0.75,1.9,actual_real,300,0.7933333333333333,1.01,0.9966666666666667
0.75,0.1,random,300,0.7,2.9133333333333336,0.31666666666666665
0.75,0.2,random,300,0.6833333333333333,2.87,0.34
0.75,0.3,random,300,0.6533333333333333,2.8033333333333332,0.37333333333333335
0.75,0.4,random,300,0.62,2.6633333333333336,0.43
0.75,0.5,random,300,0.6133333333333333,2.546666666666667,0.49666666666666665
0.75,0.6,random,300,0.61,2.3933333333333335,0.5433333333333333
0.75,0.7,random,300,0.6033333333333334,2.243333333333333,0.61
0.75,0.7999999999999999,random,300,0.5766666666666667,2.1733333333333333,0.6433333333333333
0.75,0.8999999999999999,random,300,0.5266666666666666,2.0233333333333334,0.6733333333333333
0.75,0.9999999999999999,random,300,0.49333333333333335,1.9233333333333333,0.7366666666666667
0.75,1.0999999999999999,random,300,0.48,1.79,0.7666666666666667
0.75,1.2,random,300,0.48,1.7133333333333334,0.7866666666666666
0.75,1.3,random,300,0.4666666666666667,1.6233333333333333,0.82
0.75,1.4,random,300,0.46,1.55,0.8366666666666667
0.75,1.5,random,300,0.44333333333333336,1.4766666666666666,0.8433333333333334
0.75,1.5999999999999999,random,300,0.42,1.3133333333333332,0.9133333333333333
0.75,1.7,random,300,0.4033333333333333,1.2066666666666668,0.9433333333333334
0.75,1.8,random,300,0.39,1.0666666666666667,0.9766666666666667
0.75,1.9,random,300,0.39,1.0133333333333334,0.9933333333333333
0.75,0.1,bfs,300,0.6866666666666666,2.0933333333333333,0.6333333333333333
0.75,0.2,bfs,300,0.68,2.006666666666667,0.6633333333333333
0.75,0.3,bfs,300,0.6866666666666666,1.8933333333333333,0.7133333333333334
0.75,0.4,bfs,300,0.6633333333333333,1.79,0.7533333333333333
0.75,0.5,bfs,300,0.6666666666666666,1.7133333333333334,0.7666666666666667
0.75,0.6,bfs,300,0.6533333333333333,1.6466666666666667,0.7933333333333333
0.75,0.7,bfs,300,0.6366666666666667,1.58,0.82
0.75,0.7999999999999999,bfs,300,0.62,1.4966666666666666,0.85
0.75,0.8999999999999999,bfs,300,0.6066666666666667,1.43,0.8833333333333333
0.75,0.9999999999999999,bfs,300,0.5666666666666667,1.3233333333333333,0.92
0.75,1.0999999999999999,bfs,300,0.5666666666666667,1.2566666666666666,0.9366666666666666
0.75,1.2,bfs,300,0.5633333333333334,1.1466666666666667,0.9666666666666667
0.75,1.3,bfs,300,0.57,1.0933333333333333,0.98
0.75,1.4,bfs,300,0.5666666666666667,1.0633333333333332,0.99
0.75,1.5,bfs,300,0.5666666666666667,1.0466666666666666,0.99
0.75,1.5999999999999999,bfs,300,0.5566666666666666,1.0166666666666666,1.0
0.75,1.7,bfs,300,0.5566666666666666,1.01,1.0
0.75,1.8,bfs,300,0.5566666666666666,1.0033333333333334,1.0
0.75,1.9,bfs,300,0.5566666666666666,1.0,1.0
0.75,0.1,ig,300,0.6666666666666666,2.03,0.6466666666666666
0.75,0.2,ig,300,0.66,1.9333333333333333,0.6766666666666666
0.75,0.3,ig,300,0.6633333333333333,1.8333333333333333,0.7266666666666667
0.75,0.4,ig,300,0.6566666666666666,1.74,0.76
0.75,0.5,ig,300,0.66,1.6733333333333333,0.7766666666666666
0.75,0.6,ig,300,0.65,1.6,0.8066666666666666
0.75,0.7,ig,300,0.63,1.5266666666666666,0.8366666666666667
0.75,0.7999999999999999,ig,300,0.6133333333333333,1.4566666666666668,0.86
0.75,0.8999999999999999,ig,300,0.5966666666666667,1.3633333333333333,0.9066666666666666
0.75,0.9999999999999999,ig,300,0.5666666666666667,1.2666666666666666,0.9333333333333333
0.75,1.0999999999999999,ig,300,0.5666666666666667,1.1966666666666668,0.95
0.75,1.2,ig,300,0.56,1.1033333333333333,0.9733333333333334
0.75,1.3,ig,300,0.5633333333333334,1.0433333333333332,0.9866666666666667
0.75,1.4,ig,300,0.5566666666666666,1.0166666666666666,0.9966666666666667
0.75,1.5,ig,300,0.5533333333333333,1.0066666666666666,1.0
0.75,1.5999999999999999,ig,300,0.5533333333333333,1.0,1.0
0.75,1.7,ig,300,0.5533333333333333,1.0,1.0
0.75,1.8,ig,300,0.5533333333333333,1.0,1.0
